Id,SalePrice
1461,124586.03004316961
1462,163649.3391685228
1463,183179.23086022277
1464,191376.25637405124
1465,206168.45410779677
1466,170094.80246294034
1467,165270.8126451988
1468,157264.58755825125
1469,186428.09726528398
1470,125978.95395117905
1471,193319.56050429275
1472,94222.1122705825
1473,88689.5194169013
1474,147816.55362302653
1475,133678.31051495005
1476,454061.7400257051
1477,268998.78038140386
1478,318374.47294595896
1479,286639.5671947035
1480,563419.621637479
1481,318286.1356093031
1482,217823.38776685385
1483,168163.10360842876
1484,176132.73704749407
1485,182005.35735703688
1486,197819.93853269838
1487,386996.37529591285
1488,238341.40980677973
1489,201342.4747149775
1490,219546.56273726712
1491,193320.0099013417
1492,116368.96261866386
1493,176173.22672171314
1494,293894.6273162212
1495,290431.8715031428
1496,241836.6646706634
1497,185725.3224429855
1498,166849.59042491924
1499,166136.6457184865
1500,147695.0584206218
1501,167752.65419960217
1502,164105.0468955841
1503,297654.81160944235
1504,236610.5720458162
1505,216997.03334636503
1506,195938.83215105702
1507,227525.3186483324
1508,212153.89191118896
1509,167889.31834802494
1510,145584.27216498638
1511,142317.0704232212
1512,173649.6407069075
1513,138065.35592140086
1514,162061.2669153559
1515,189668.24158936043
1516,155078.93061729622
1517,158236.37305933985
1518,140474.34198242566
1519,219779.8908849626
1520,134968.01840382285
1521,139871.45678070502
1522,168293.52829810994
1523,113856.92881076464
1524,126346.93779317582
1525,123572.17212774287
1526,114651.94232408167
1527,108101.73819313463
1528,136692.92578942998
1529,137556.92690144118
1530,171755.41453297055
1531,128920.63715373239
1532,110339.2207469213
1533,152117.95669074138
1534,115830.98959999839
1535,166631.19203925852
1536,116297.60462983363
1537,64629.5412504958
1538,195412.9366975763
1539,213603.7895775822
1540,109406.8420802082
1541,140528.31289742744
1542,136491.48387122122
1543,209913.55922330607
1544,84847.59935589197
1545,95078.98853149652
1546,116284.12284291945
1547,128043.8180583158
1548,124994.67823346742
1549,106426.27073838054
1550,129440.69950581336
1551,128430.05388105122
1552,128190.22598397233
1553,155868.42867888501
1554,115231.13218496848
1555,194970.3603283839
1556,107458.18643703856
1557,127215.84913740412
1558,91994.18004770852
1559,78693.52180673747
1560,150618.19713493256
1561,152907.4744489233
1562,125077.58733812651
1563,122686.29250010411
1564,157522.48531302996
1565,135623.51236225327
1566,230207.60688958384
1567,79931.15331216963
